,Date,Entry_Price,Exit_Price,Exit_date,Ret,Shares,Signal,Ticker
278082,2007-03-28,110.0,122.75,2007-04-11,0.11590909090909096,10492.989260583008,Buy,SAIL
180133,2007-03-28,628.9,609.4,2007-04-11,-0.031006519319446646,1835.3137520498187,Buy,JETAIRWAYS
240307,2007-03-28,182.75,187.75,2007-04-11,0.02735978112175097,6315.889568613576,Buy,ORIENTBANK
151133,2007-03-28,77.15,78.6,2007-04-11,0.01879455605962388,14960.84016414946,Buy,IDBI
18258,2007-03-28,73.6,72.05,2007-04-11,0.02151283830673134,15682.456775327868,Sell,ALBK
29220,2007-03-28,77.0,75.5,2007-04-11,0.019867549668874274,14989.984657975727,Sell,ANDHRABANK
132460,2007-03-28,89.3,108.25,2007-04-11,-0.17505773672055425,12925.294721882767,Sell,GRANULES
295,2007-03-28,1048.95,1042.0,2007-04-11,0.0066698656429942105,1100.365907492379,Sell,ABIRLANUVO
335405,2007-03-28,57.7,63.6,2007-04-11,-0.0927672955974842,20003.96566142341,Sell,TORNTPOWER
202636,2007-03-28,169.7,174.7,2007-04-11,-0.028620492272467102,6801.584081697885,Sell,KTKBANK
164623,2007-03-28,99.75,99.7,2007-04-11,0.0005015045135405849,11571.216227209334,Sell,IGL
4986,2007-03-28,734.7,732.45,2007-04-11,0.0030718820397297453,1571.0205780102503,Sell,ACC
246905,2007-03-28,41.8,45.0,2007-04-11,-0.07111111111111112,27613.12963311318,Sell,PETRONET
118932,2007-03-28,42.5,42.6,2007-04-11,-0.0023474178403756207,27158.325145038376,Sell,EXIDEIND
161390,2007-04-11,36.75,39.8,2007-04-25,0.08299319727891152,32422.088750262992,Buy,IFCI
291968,2007-04-11,149.6,160.1,2007-04-25,0.07018716577540096,7964.650812648162,Buy,SRF
217355,2007-04-11,69.0,73.9,2007-04-25,0.07101449275362337,17268.286399596593,Buy,MCLEODRUSS
45406,2007-04-11,168.25,199.15,2007-04-25,0.1836552748885587,7081.793530889539,Buy,BANKINDIA
240316,2007-04-11,187.75,213.9,2007-04-25,0.13928095872170432,6346.267704778508,Buy,ORIENTBANK
132469,2007-04-11,108.25,118.55,2007-04-25,0.0951501154734411,11007.037058403372,Buy,GRANULES
349258,2007-04-11,101.7,109.35,2007-04-25,0.0752212389380531,11715.946524800049,Buy,UNIONBANK
